"CBSA","CBSA Code","Year","Days with AQI","Good Days","Moderate Days","Unhealthy for Sensitive Groups Days","Unhealthy Days","Very Unhealthy Days","Hazardous Days","Max AQI","90th Percentile AQI","Median AQI","Days CO","Days NO2","Days Ozone","Days PM2.5","Days PM10"
"Aberdeen, SD","10100",2024,357,306,47,4,0,0,0,118,54,24,0,0,0,239,118
"Aberdeen, WA","10140",2024,366,353,13,0,0,0,0,64,36,20,0,0,0,366,0
"Ada, OK","10220",2024,289,207,81,1,0,0,0,101,63,43,0,0,183,105,1
"Adrian, MI","10300",2024,366,253,113,0,0,0,0,97,59,43,0,0,172,194,0
"Akron, OH","10420",2024,341,216,123,2,0,0,0,108,71,45,0,0,175,166,0
"Albany, GA","10500",2024,366,227,135,4,0,0,0,121,61,45,0,0,0,366,0
"Albany, OR","10540",2024,366,320,46,0,0,0,0,86,52,25,0,0,0,366,0
"Albany-Schenectady-Troy, NY","10580",2024,366,280,85,1,0,0,0,105,61,37,0,0,214,152,0
"Albuquerque, NM","10740",2024,366,100,233,26,4,1,2,443,100,61,0,2,212,82,70
"Alexandria, LA","10780",2024,121,85,35,1,0,0,0,102,56,39,0,0,0,121,0
"Allentown-Bethlehem-Easton, PA-NJ","10900",2024,366,250,112,4,0,0,0,119,65,41,0,10,202,154,0
"Altoona, PA","11020",2024,366,296,70,0,0,0,0,100,58,37,0,0,209,157,0
"Amarillo, TX","11100",2024,364,265,96,3,0,0,0,138,67,44,0,0,306,58,0
"Americus, GA","11140",2024,244,228,16,0,0,0,0,84,49,38,0,0,244,0,0
"Anchorage, AK","11260",2024,366,284,82,0,0,0,0,95,58,26,3,0,0,280,83
"Ann Arbor, MI","11460",2024,366,253,113,0,0,0,0,87,61,43,0,0,212,154,0
"Appleton, WI","11540",2024,366,291,75,0,0,0,0,99,57,37,0,0,157,209,0
"Ardmore, OK","11620",2024,363,217,132,14,0,0,0,143,74,48,0,0,190,173,0
"Arkadelphia, AR","11660",2024,360,336,24,0,0,0,0,93,48,35,0,0,360,0,0
"Asheville, NC","11700",2024,366,219,146,1,0,0,0,101,62,48,0,0,179,187,0
"Ashtabula, OH","11780",2024,245,205,38,2,0,0,0,108,61,41,0,0,245,0,0
"Athens, OH","11900",2024,364,330,34,0,0,0,0,64,49,28,0,0,0,364,0
"Athens, TN","11940",2024,356,281,75,0,0,0,0,89,54,32,0,0,0,356,0
"Athens-Clarke County, GA","12020",2024,364,222,140,2,0,0,0,126,62,46,0,0,106,258,0
"Atlanta-Sandy Springs-Roswell, GA","12060",2024,366,110,242,13,1,0,0,161,81,56,0,4,113,249,0
"Atlantic City-Hammonton, NJ","12100",2024,366,302,64,0,0,0,0,97,54,35,0,0,213,153,0
"Augusta-Richmond County, GA-SC","12260",2024,365,159,205,1,0,0,0,105,71,52,0,0,96,269,0
"Augusta-Waterville, ME","12300",2024,366,310,56,0,0,0,0,77,53,35,0,0,139,227,0
"Austin-Round Rock, TX","12420",2024,366,156,203,7,0,0,0,141,80,52,0,3,126,235,2
"Bakersfield, CA","12540",2024,366,76,196,73,21,0,0,177,140,72,0,0,225,122,19
"Baltimore-Columbia-Towson, MD","12580",2024,366,215,139,11,1,0,0,154,77,47,0,2,203,161,0
"Bangor, ME","12620",2024,362,328,34,0,0,0,0,84,49,33,0,0,208,150,4
"Baraboo, WI","12660",2024,366,312,54,0,0,0,0,77,53,37,0,0,168,198,0
"Barnstable Town, MA","12700",2024,353,333,19,1,0,0,0,101,46,36,0,0,340,13,0
"Bartlesville, OK","12780",2024,318,182,128,7,1,0,0,156,74,47,0,0,193,125,0
"Baton Rouge, LA","12940",2024,366,138,214,12,2,0,0,159,82,53,0,0,115,251,0
"Bay City, MI","13020",2024,363,277,86,0,0,0,0,73,56,37,0,0,0,363,0
"Beatrice, NE","13100",2024,307,224,83,0,0,0,0,70,56,35,0,0,0,307,0
"Beaumont-Port Arthur, TX","13140",2024,366,126,232,8,0,0,0,143,71,54,0,1,93,272,0
"Beaver Dam, WI","13180",2024,366,297,69,0,0,0,0,84,54,38,0,0,251,115,0
"Bellingham, WA","13380",2024,361,335,26,0,0,0,0,82,47,33,0,0,73,288,0
"Bemidji, MN","13420",2024,366,308,54,3,1,0,0,177,55,36,0,0,170,196,0
"Bend-Redmond, OR","13460",2024,366,258,89,12,7,0,0,176,78,39,0,0,83,283,0
"Bennington, VT","13540",2024,365,332,33,0,0,0,0,80,50,36,0,0,304,61,0
"Berlin, NH-VT","13620",2024,365,296,69,0,0,0,0,90,58,44,1,0,361,3,0
"Billings, MT","13740",2024,357,272,84,1,0,0,0,105,61,39,0,6,213,138,0
"Birmingham-Hoover, AL","13820",2024,366,94,266,6,0,0,0,119,79,57,0,0,73,293,0
"Bishop, CA","13860",2024,366,90,246,17,7,2,4,1322,93,61,0,0,188,130,48
"Bismarck, ND","13900",2024,366,267,88,9,2,0,0,174,65,40,0,2,204,153,7
"Blacksburg-Christiansburg-Radford, VA","13980",2024,344,316,28,0,0,0,0,80,50,38,0,0,344,0,0
"Bloomington, IL","14010",2024,366,254,111,1,0,0,0,112,61,44,0,0,181,185,0
"Bloomington, IN","14020",2024,366,260,106,0,0,0,0,97,57,43,0,0,186,180,0
"Boise City, ID","14260",2024,366,147,151,33,31,4,0,265,149,54,0,3,140,220,3
"Boston-Cambridge-Newton, MA-NH","14460",2024,366,256,105,1,2,0,2,1513,66,43,0,4,222,138,2
"Boulder, CO","14500",2024,366,212,144,9,1,0,0,154,77,49,0,0,231,126,9
"Bowling Green, KY","14540",2024,366,281,85,0,0,0,0,87,55,41,0,0,225,141,0
"Bozeman, MT","14580",2024,365,329,36,0,0,0,0,84,50,18,20,37,0,308,0
"Brainerd, MN","14660",2024,366,291,74,0,1,0,0,164,56,38,0,0,165,201,0
"Branson, MO","14700",2024,117,104,13,0,0,0,0,73,51,26,0,0,0,117,0
"Bremerton-Silverdale, WA","14740",2024,351,341,10,0,0,0,0,69,38,19,0,0,0,351,0
"Bridgeport-Stamford-Norwalk, CT","14860",2024,366,248,97,18,3,0,0,154,75,42,0,30,180,156,0
"Brookings, SD","15100",2024,366,292,72,2,0,0,0,111,56,36,0,0,178,149,39
